NOME;IDADE;MUNICIPIO
ACEDIR SCHELLES;80;SANTO ANTONIO
ACIONILDES OLIVEIRA DA SILVA;59;NATAL
ACIR ANTUNES;45;NATAL
ACYLINO MARCOS DE SANT ANNA;96;CERRO CORA
ACYLINO MARCOS DE SANT ANNA JUNIOR;61;CERRO CORA
ADAIL BERNINI SORIANI;63;NATAL
ADAIL BEZERRA;59;NATAL
ADAIL BUCCHI JUNIOR;50;NATAL
ADAIL EXPEDITO DE OLIVEIRA TRIGO JUNIOR;61;NATAL
ADAIL FILETE NOGUEIRA;72;NATAL
ADAILTO SOARES COSTA;44;CAMPO REDONDO
RONALDO ALVES RIBEIRO;45;NATAL
RONALDO BARBOSA ORLANDO;69;SAO TOME
RONALDO BARBOSA PUPIM;44;SAO TOME
RONALDO DE ALMEIDA;70;CAMPO REDONDO
RONALDO FERRACIOLI;67;CAMPO REDONDO
RONALDO JOAO DE FACCIO JUNIOR;22;NATAL
RONALDO JOAO FACCIO;53;NATAL
RONALDO LENZONI;82;CAMPO REDONDO
RONALDO MILHORANCA;64;NATAL
RONALDO TADEU VILLA REAL;52;CAMPO REDONDO
RONALDO VICENTE DOS SANTOS;70;NATAL
RENAN APARECIDO DE MATOS;46;NATAL
RENAN BATISTA HOLANDA;60;NATAL
RENAN BOARO;50;NATAL
RENAN CANASSA GUERRA;50;CAMPO REDONDO
RENAN DE ALMEIDA;70;NATAL
RENAN DE OLIVEIRA FABRI;43;NATAL
RENAN DOMINGUES;51;SAO TOME
RENAN GUEDES XAVIER DE ANDRADE;51;NATAL
RENAN LANZIANI;50;NATAL
RENAN LINS DA SILVA;78;NATAL
RENAN LOPES PEREIRA;69;NATAL
RENAN LOPES PERES;47;ANGICUS
RENAN MANOEL DE OLIVEIRA;35;CERRO CORA
RENAN MARTINS;69;NATAL
RENAN MORCELI;43;ANGICUS
RENAN NESPOLI FERREIRA;55;SAO TOME
RENAN PEDROZA DOS SANTOS;67;NATAL
RENAN SANTOS FONSECA;45;SANTO ANTONIO
RENAN SILINGOWSCHI PEREIRA;42;NATAL
RENAN VINICIUS COUTO WIRRIES;12;NATAL
RENAN ZAMPIERI CRISTOFANO;65;NATAL
ADALGISA CORREIA MALAQUIAS;49;CAMPO REDONDO
ADALGISA LEITE OLIVEIRA;86;NATAL
ADALGISA LIMA DA SILVA;69;NATAL
ADALGISA PEREIRA LIMA;86;NATAL
ADALGISO PEREIRA DE MELO;65;CAMPO REDONDO
ADALGIZA DE OLIVEIRA REIS;43;NATAL
ADALGIZA PEDROSO DA SILVA;81;NATAL
ADALIA FERREIRA DA SILVA ARAUJO;49;CERRO CORA
ADALTO LUIZ MORSELLI;55;NATAL
ADALTO PEREIRA DOS SANTOS;48;NATAL
ADALTO PORTO;49;NATAL
ADALTO ZEFERINO RODRIGUES;55;NATAL
ADALTON JOAO COSTA CHINELLI;27;RIO DO FOGO
ADALZIRA TEREZA MENDONCA SILVA;74;SAO TOME
ADALZIZA PADUELLI;83;CAMPO REDONDO
ADAO ALEXANDRE NICACIO;42;NATAL
ADAO ALVES DOS SANTOS;57;NATAL
ADAO AMORIM OLIVEIRA;41;NATAL
ADAO CARDOSO;55;NATAL
ADAO CIRELI PARIS;58;PARNAMIRIM
ADAO DONIZETTI DE JESUS;50;NATAL
ADAO DONIZETTI GOMES;57;SANTO ANTONIO
ADAO ELTON DA SILVA;33;CERRO CORA
ADAO FERREIRA XAVIER;72;NATAL
ADAO FLORIANO DA SILVA;57;MACA÷BA
ADAO GABRIEL;77;SAO TOME
ADAO GERALDO MAZINI;54;RIO DO FOGO
ADAO GOMES DA SILVA;64;NATAL
ADAO GONCALVES DE OLIVEIRA;84;NATAL
ADAO GONCALVES DE OLIVEIRA JUNIOR;47;NATAL
ADAO GUINOSSI;55;NATAL
ADAO LUCAS PEREIRA;61;NATAL
ADAO LUIZ GRACA;55;NATAL
ADAO MARCOS MOREIRA DA CRUZ;49;NATAL
ADAO MAXIMO DE SANTOS;70;RIO DO FOGO
ADAO PEREIRA DUTRA;55;NATAL
ADAO PERUCHE;61;NATAL
ADAO SABIAO;71;ANGICUS
ADAO SANTOS DO NASCIMENTO;39;NATAL
ADAO SCATOLON;63;NATAL
ADAO SERGIO BATISTA;41;NATAL
ADAO TONI PIRONDI;42;NATAL
ADAUTO BIBIANO DA SILVA;69;NATAL
ADAUTO BIBIANO DA SILVA JUNIOR;47;NATAL
ADAUTO CHOJI TAKEDA;73;MACA÷BA
ADAUTO DA SILVEIRA;46;NATAL
ADAUTO DONIZETE TOLA;58;ANGICUS
ADAUTO HENRIQUE ELIAS;45;NATAL
ADAUTO MARCOS GARCIA JUNIOR;34;CERRO CORA
ADAUTO MARQUES DE ARAUJO SILVA;44;NATAL
ADAUTO PASSIANOTO;69;CAMPO REDONDO
ADAUTO PERETTI FILHO;53;NATAL
ADAUTO PINHEIRO DE LIMA LESSA;77;TENENTE ANANIAS
ADAUTON MARCOS GARCIA;58;CERRO CORA
ADAVIO SANGIROLAMO;44;NATAL
ADAZIZA SEVERINO;74;NATAL
ADE DE BRITO PEREIRA;69;ANGICUS
ADEILDO MARCOS DOS SANTOS;51;NATAL
ADEILDO MEDEIROS DA SILVA;43;NATAL
ADEILDO VALERIANO SOARES;79;NATAL
ADEILTON HELENO DA SILVA;43;RIO DO FOGO
ADEILTON MARCOS DA SILVA;30;NATAL
ADEIR BETING DE OLIVEIRA MARTINS;62;NATAL
ADELAIDE AQUILINO GOMES;87;NATAL
ADELAIDE BARROCAL TARDIM;70;SANTO ANTONIO
ADELAIDE CARDOSO SANCHEZ;90;MACA÷BA
ADELAIDE CAVALHEIRO FARINA;62;NATAL
ADELAIDE COMITRE;57;NATAL
ADELAIDE CORSALETTE LOPES SANCHES;95;CERRO CORA
ADELAIDE CORTEZ GARDENAL;84;NATAL
ADELAIDE DAVI DE OSTI;87;NATAL
ADELAIDE DE SANTOS;81;NATAL
ADELAIDE FERRUCI;68;MACA÷BA
ADELAIDE PIVOTTO GERVASONI;67;CERRO CORA
ADELAIDE QUAGLIO PALMIERI;83;PARNAMIRIM
ADELAIDE RODRIGUES;71;NATAL
ADELAIDE SANA;78;CAMPO REDONDO
ADELAIDE STORTO SILVA;71;ANGICUS
ADELAINE RODRIGUES DE ANDRADE GOMES;41;NATAL
ADELCINA SIQUEIRA MEDEIROS;84;NATAL
ADELCIO CAVALIN;47;NATAL
ADELCIO DONIZETE DA SILVA;58;ANGICUS
ADELCIO MARCOS CARAVINA;53;NATAL
ADELCIR TAVARES SAMPAIO;85;NATAL
ADELFO PEREIRA JUNIOR;46;NATAL
ADELIA BENE COUTINHO;90;SANTA DO MATOS
ADELIA DA SILVA PEREIRA;61;NATAL
ADELIA DE SANTOS;54;NATAL
ADELIA FRANCA BERNADELLI;64;NATAL
ADELIA FUENTES GANICA;92;ANGICUS
ADELIA GONCALVES VILELA;72;NATAL
ADELIA KATUE OTA;66;NATAL
ADELIA MARTINS CAVICCHIOLI;76;NATAL
ADELIA MIO PEREIRA;65;ANGICUS
ADELIA MIYUKI OMORI;51;NATAL
ADELIA PAUKA MICHELINI;82;CAMPO REDONDO
ADELIA PEREIRA ALVES;71;NATAL
ADELIA SANCHES FURLAN;80;NATAL
ADELIA TELLES ROSA;69;NATAL
ADELIA TICEU PAZOTI;80;RIO DO FOGO
ADELIA TREVISAN BERTOLOTO;90;NATAL
ADELIA TYOKO SILVA YOKOSAWA;66;SANTO ANTONIO
ADELIA VENDRAMEL BARUTTA;95;NATAL
ADELIA YOKO NAGANO;76;MACA÷BA
ADELICE ARAUJO DE CAMPOS;69;SAO TOME
ADELICE FELIX FRAGA FERNANDES;75;ANGICUS
ADELICIA MARIA DA SILVA;78;SANTA DO MATOS
ADELINA AMORIM SOBREIRO;52;NATAL
ADELINA AVANZINI RAMPAZI;69;MACA÷BA
ADELINA BORSONE VAZ;73;ANGICUS
ADELINA CALDEIRA MAGRO;79;NATAL
ADELINA COLLETTE FELICE;84;CERRO CORA
ADELINA COSER DIONISIO;70;NATAL
ADELINA MARIA CARMO DALBERTO;61;NATAL
ADELINA MARIA PEREIRA DA TRINDADE;75;NATAL
ADELINA RUIZ STELLA;75;NATAL
ADELINA SOARES ROSA;69;CAMPO REDONDO
ADELINA TELES GUIMARAES;77;ANGICUS
ADELINA TROMBETA PEREIRA;68;NATAL
ADELINO ALVES VILELA FILHO;79;NATAL
ADELINO APARECIDO AMICE;69;NATAL
ADELINO APARECIDO MARTINS;71;PARNAMIRIM
ADELINO APPARICIO RIBEIRO;56;NATAL
ADELINO BISPO JUNIOR;52;NATAL
ADELINO BRAGA;75;SANTA DO MATOS
ADELINO CARDOSO;45;SAO TOME
ADELINO CARNELOSSI;64;NATAL
ADELINO DE SANTOS RODRIGUES;61;NATAL
ADELINO FERNANDES CARRION;68;NATAL
ADELINO GARCIA;74;CERRO CORA
ADELINO JOAO NICOLUCI;72;CAMPO REDONDO
ADELINO JOAO NICOLUCI JUNIOR;34;CAMPO REDONDO
ADELINO LEPRE;83;SAO TOME
ADELINO MAURICIO ALVES VILELA;63;NATAL
ADELINO MARCELO TEIXEIRA;58;RIO DO FOGO
ADELINO NUNES DO NASCIMENTO;47;NATAL
ADELINO PEREIRA BOMFIN;68;CERRO CORA
ADELINO PRUDENCIO DA SILVA;82;NATAL
ADELINO SOARES DE CARVALHO;65;RIO DO FOGO
ADELINO SPONTON DURAN;59;SAO TOME
ADELIO DOS SANTOS;39;TANGARA
ADELITES MINGARDI;75;CERRO CORA
ADELMA PARDINI;47;NATAL
ADELMA RODRIGUES DE OLIVEIRA;39;SAO TOME
ADELMO ALVES;46;PATU
ADELMO JOSUEL MENDES;63;MACA÷BA
ADELMO RODRIGUES SILVA;54;NATAL
ADELMO SANTOS REIS VANALLI;81;NATAL
ADELSON APARECIDO DA SILVA;35;TANGARA
ADELSON BALBINO DE SOUSA;46;TANGARA
ADELSON DE FREITAS BARROS;54;NATAL
ADELSON DOS SANTOS;45;TANGARA
ADELSON FELICIO;38;NATAL
ADELSON MARTINS DE GODOY;49;CAMPO REDONDO
ADEMILDE OLIVEIRA CORTEZ;58;NATAL
ADEMILSON DELLI COLLI;42;NATAL
ADEMILSON FERREIRA DA SILVA;48;PATU
ADEMILSON FILAZ;47;NATAL
ADEMILSON JOAO DOS SANTOS;31;NATAL
ADEMILSON LUIS DE AGOSTINI;48;CERRO CORA
ADEMILSON MARCOS DA SILVA;31;CERRO CORA
ADEMILSON RODRIGUES DA SILVA;47;NATAL
ADEMILSON SOARES RAMOS;46;NATAL
ADEMIR ALVES;51;NATAL
ADEMIR ALVES DE OLIVEIRA;63;SAO TOME
ADEMIR ALVES DIAS;37;RIO DO FOGO
ADEMIR AMARAL CARVALHO;43;CERRO CORA
ADEMIR APARECIDO ALVES;59;SAO TOME
ADEMIR APARECIDO CAPELLI;48;CAMPO REDONDO
ADEMIR APARECIDO DOS SANTOS JUNIOR;30;NATAL
ADEMIR APARECIDO GOMES;55;NATAL
ADEMIR BARRUECO GANDOLFI;60;ANGICUS
ADEMIR BATISTA PIRES;43;NATAL
ADEMIR BERNARDINO SILVA;52;NATAL
ADEMIR BOARO;43;SAO TOME
ADEMIR BOSSO;63;NATAL
ADEMIR CARMONA ABALOS;63;NATAL
ADEMIR CESAR GARCIA BOSSO;39;NATAL
ADEMIR COSTA SILVA;64;NATAL
ADEMIR CRUZEIRO;62;NATAL
ADEMIR CUPERTINO BISPO;38;ANGICUS
ADEMIR DAS NEVES GOMES JUNIOR;39;NATAL
ADEMIR DE CASTRO;49;CAMPO REDONDO
ADEMIR DE OLIVEIRA;64;NATAL
ADEMIR DE SANTIS;66;NATAL
ADEMIR ELIAS;67;CAMPO REDONDO
ADEMIR ERACLIDE;60;SAO TOME
ADEMIR FILAZ;48;NATAL
ADEMIR FRANCISCO;55;SAO TOME
ADEMIR FRANCISCO DA SILVA;49;MACA÷BA
ADEMIR GERALDO LEMOS;51;RIO DO FOGO
ADEMIR GOMES DE AGUIAR;41;NATAL
ADEMIR GRISANI FILHO;36;SAO TOME
ADEMIR HENRIQUE MANFRE;33;NATAL
ADEMIR JOAO DOS SANTOS;64;NATAL
ADEMIR JOAO PEREIRA;51;SANTO ANTONIO
ADEMIR LINO;58;NATAL
ADEMIR MARCOS BARBOSA;65;NATAL
ADEMIR MARCOS COSTA;52;PARNAMIRIM
ADEMIR MARCOS SARTORI;64;NATAL
ADEMIR MARCOS ZOCANTE;65;NATAL
ADEMIR MARIANO;72;NATAL
ADEMIR MARINHO GOMES;59;NATAL
ADEMIR MARTINS DA SILVA;56;NATAL
ADEMIR MENDES;43;CERRO CORA
ADEMIR MENDES CORREA;46;MONTE ALEGRE
ADEMIR MENDES ROPALLI;49;MACA÷BA
ADEMIR NAPOLI;60;NATAL
ADEMIR OLIVIO DUQUE;63;NATAL
ADEMIR ORTEGA FERNANDES;65;CAMPO REDONDO
ADEMIR PASSONI PERRETI;59;NATAL
ADEMIR PEDRO FASSOLI;64;PATU
ADEMIR PEREIRA DA SILVA;63;SAO TOME
ADEMIR PEREIRA NANTES;62;SAO TOME
ADEMIR PROCOPIO DE ANDRADE;38;NATAL
ADEMIR RABELLO POLICATE;63;NATAL
ADEMIR RIBEIRO;33;SAO TOME
ADEMIR ROBERTO CONTI;50;RIO DO FOGO
ADEMIR RODRIGO MENEZES ROMAO;40;NATAL
ADEMIR STUANI;64;PATU
ADEMIR VITAL DA SILVA;40;NATAL
ADEMIR ZAMBRINI;63;CERRO CORA
ADEMIRCE BRAGA;53;NATAL
ADENESIO BENVENHO;73;NATAL
ADENIL DOS SANTOS COSTA;59;MACA÷BA
ADENILDA DUARTE;47;CAMPO REDONDO
ADENILSON APARECIDO BARBOSA;43;ANGICUS
ADENILSON CANA VERDE;28;SANTO ANTONIO
ADENILSON DUARTE;48;CAMPO REDONDO
ADENILSON FERNANDO DE SOUSA SILVA;29;NATAL
ADENILTO SPINELLI;31;CERRO CORA
ADENILTON FERREIRA DA SILVA;42;SAO TOME
ADENIR BATISTA DE MEDEIROS;53;NATAL
ADENIR CABRERA MENDES;69;NATAL
ADENIR DA COSTA LUSTRI;51;PARNAMIRIM
ADENIR FERREIRA DE FREITAS;65;NATAL
ADENIR GARCIA;56;NATAL
ADENIR MARCOS DE MELO;45;SAO TOME
ADENIR PUPIM;53;NATAL
ADENIR RODRIGUES MANUEL;49;NATAL
ADENIR ROSA;57;NATAL
ADENIR TEREZINHA TROMBINI MANTOVANI;65;PATU
ADENIR THEODORO JUNIOR;32;SANTO ANTONIO
ADENIS DA SILVA MARQUES;47;PARNAMIRIM
ADENIS OLIVEIRA BERLOTTI;64;NATAL
ADENIZIO PINTO VIEIRA;58;SAO TOME
ADERALDO MANOEL EVANGELISTA;42;NATAL
ADERALDO MARCOS GOES;65;SANTO ANTONIO
ADERALDO MARCOS ZOCANTE;60;SAO TOME
ADERALDO SILVA DE OLIVEIRA;29;RIO DO FOGO
ADERALDO VIEIRA GOES;79;SANTO ANTONIO
ADERBAL GRANDE BRAGANTE;65;NATAL
ADERSON BALBINO DE OLIVEIRA;66;NATAL
ADERSON VIEIRA DA SILVA;79;SANTO ANTONIO
ADEVALDO VON AH;66;NATAL
ADEVANIR DE JESUS CAVEQUIA;65;NATAL
ADHARA SMITH NOBREGA;27;CAMPO REDONDO
ADHEMAR ACCORSI;90;CAMPO REDONDO
ADHEMAR ALVES DE NOVAIS;70;PARNAMIRIM
ADHEMAR DOS SANTOS;47;SANTO ANTONIO
ADHEMAR RINALDI;73;NATAL
ADHERBAL JOAO FARIA DE OLIVEIRA;52;NATAL
ADIB JOAO DIRENE;77;NATAL
ADIBI FERES VIEIRA;77;CERRO CORA
ADIENE DA CRUZ SILVA;28;NATAL
ADILA DARK DE ALMEIDA BRUNO;31;NATAL
ADILCE DOS SANTOS GRILLO;49;CAMPO REDONDO
ADILEILA CRISTINE ABRIL RAMOS;32;NATAL
ADILEU PIMENTA;75;CAMPO REDONDO
ADILMAR ALVES DE OLIVEIRA;73;SANTO ANTONIO
ADILSON ALVES DA SILVA;65;NATAL
ADILSON AMORIM;58;SAO TOME
ADILSON APARECIDO DIAS;75;NATAL
ADILSON APARECIDO HIGUTI;53;NATAL
ADILSON APARECIDO NELLI;69;NATAL
ADILSON BISPO DA SILVA;34;SANTO ANTONIO
ADILSON BRIGUENTI DALPERIO;48;NATAL
ADILSON CATANA;47;NATAL
ADILSON CERRO CORA TERENCIO;52;NATAL
ADILSON COSTA;54;SANTO ANTONIO
ADILSON DA COSTA BARREIRO;35;NATAL
ADILSON DE MOURA;42;SANTO ANTONIO
ADILSON DE OLIVEIRA LIMA;52;NATAL
ADILSON DE SANTANA;46;SAO TOME
ADILSON DE SANTOS;32;NATAL
ADILSON DE SANTOS RODRIGUES;48;NATAL
ADILSON DELVEQUIO;46;NATAL
ADILSON DIAS;50;SAO TOME
ADILSON DIAS FERREIRA;48;NATAL
ADILSON DIOGO DOS SANTOS PINHA;46;NATAL
ADILSON DUARTE DE OLIVEIRA;71;ANGICUS
ADILSON EDSON MATHIAS;60;ANGICUS
ADILSON FERNANDES;32;RIO DO FOGO
ADILSON FRANCISCO DA SILVA;44;MACA÷BA
ADILSON GALDINO DA SILVA;37;SAO TOME
ADILSON GERONIMO DE ALMEIDA;46;NATAL
ADILSON GIL DE OLIVEIRA;73;NATAL
ADILSON GRIGORIO;24;TANGARA
ADILSON HENRIQUE BORINI;50;ANGICUS
ADILSON JACQUES DE PIERI;34;CERRO CORA
ADILSON LINS XAVIER;53;SAO TOME
ADILSON LOPES BISPO;32;ANGICUS
ADILSON LOPES FERREIRA;46;NATAL
ADILSON LUIS SIMAO;46;CERRO CORA
ADILSON MARCOS BIANCHI;48;RIO DO FOGO
ADILSON MARCOS DE ALMEIDA;56;RIO DO FOGO
ADILSON MARCOS DO NASCIMENTO;40;NATAL
ADILSON MARCOS FAVORETTO;49;CAMPO REDONDO
ADILSON MARIANO PEREIRA;41;RIO DO FOGO
ADILSON MARTINS DE OLIVEIRA;68;NATAL
ADILSON MARTINS FERRARI;69;NATAL
ADILSON MELCHIOR;63;NATAL
ADILSON MINORU AZATO;36;NATAL
ADILSON MIRANDA RODRIGUES;25;NATAL
ADILSON NEPOMUCENO GOMES;43;SANTO ANTONIO
ADILSON PARDO FILHO;28;NATAL
ADILSON PEREIRA DA SILVA;40;SAO TOME
ADILSON PEREIRA DE ASSIS;47;NATAL
ADILSON PEREIRA DUTRA;51;CAMPO REDONDO
ADILSON RODRIGUES COELHO;44;NATAL
ADILSON RODRIGUES DA SILVA;50;MACA÷BA
ADILSON RODRIGUES MARTIM;48;NATAL
ADILSON ROGERIO CATUCCI;36;MACA÷BA
ADILSON SARTORI;47;NATAL
ADILSON SERAFIM DOS SANTOS;46;NATAL
ADILSON SILVA DE OLIVEIRA;27;CAMPO REDONDO
ADILSON SILVA MENEZES;44;NATAL
ADILSON SILVA MENEZES JUNIOR;17;NATAL
ADILSON SILVEIRA CRUZ;37;CAMPO REDONDO
ADILSON TADAO MORIZAKI;43;SAO TOME
ADILSON TENDOLO;48;SAO TOME
ADILSON VIEIRA;48;NATAL
ADILSON ZAGO;48;NATAL
ADINALDO SILVA SANTOS;57;CAMPO REDONDO
ADIR FRANCISCO ROCHA;56;NATAL
ADIRSON GIROTTO DE OLIVEIRA;64;NATAL
ADIRSON GROTTO;78;NATAL
ADJAIR DIAS DA SILVA;60;NATAL
ADMA SAAB RODRIGUES DA SILVA;78;ANGICUS
ADMARCELO BARBOSA DOS SANTOS;36;TANGARA
ADMARCELO BARBOSA PUPIM;41;SAO TOME
ADMARCELO CARAVINA;49;NATAL
ADMARCELO CESAR MENOSSI;49;ASSU
ADMARCELO LINARES PEREIRA;48;NATAL
ADMARCELO OLIVEIRA DE CARVALHO;42;RIO DO FOGO
ADMILSON AUGUSTO DO NASCIMENTO;52;NATAL
ADMILSON BARBOSA DE JESUS;37;ANGICUS
ADMILSON DA MATTA ALVES;54;NATAL
ADMILSON DOS SANTOS DONATO;32;ANGICUS
ADMILSON JOAO CARAVINA;51;NATAL
ADMILSON MARCELINO RUIZ;39;SAO TOME
ADMIR BRESSA MARTINS;66;CERRO CORA
ADNAM APARECIDO DE OLIVEIRA;21;RIO DO FOGO
ADNER FEITOSA DA SILVA;8;CERRO CORA
ADOLFINA FIGUEIREDO MARIN;79;NATAL
ADOLFO BAYER;72;NATAL
ADOLFO BOCCHI;29;NATAL
ADOLFO CARDOSO DA SILVA;53;CAMPO REDONDO
ADOLFO HIROKI MIYAZAKI;54;NATAL
ADOLFO JOAO VALENTIM;85;NATAL
ADOLFO PADILHA;47;NATAL
ADOLFO RODRIGUES DE ALMEIDA NETO;31;NATAL
ADOLFO ROLNIK;73;CERRO CORA
ADOLPHO RODRIGUES DE ARAUJO;86;CERRO CORA
ADOLPHO TOM;78;SAO TOME
ADONAI CARLOS DE SANTOS;36;SAO TOME
ADONIAS DE SANTOS PEREIRA;58;NATAL
ADRIAN DOS SANTOS FRANCA;29;SAO TOME
ADRIAN FELIPE REIS ROLDAO;9;NATAL
ADRIAN SGRIGNOLLI;26;NATAL
ADRIANE ALICE TATSUSA TAKAHASHI;25;NATAL
ADRIANE ALVES PEREIRA;39;SANTO ANTONIO
ADRIANE CAVICHIOLLI;44;ANGICUS
ADRIANE CRISTINA DOS SANTOS DA PAZ;29;NATAL
ADRIANE CRISTINA MORO MATHIAS;38;PATU
ADRIANE DANIELE CHAGAS;22;NATAL
ADRIANE DE ALMEIDA COSTA;33;NATAL
ADRIANE DE OLIVEIRA;43;NATAL
ADRIANE DE PAULA RUIZ;49;NATAL
ADRIANE JESUS;39;SANTO ANTONIO
ADRIANE MOLEIRO PHILIPP MELO;46;SAO TOME
ADRIANE TERESA C CARMINATTI;48;NATAL
ADRIANE XAVIER ZACHI;44;ANGICUS
ADRIANE YURIKO MIYASAKI;32;NATAL
ADRIANNE STORTI AMARAL;22;NATAL
ADRIANNY MARTINS DO BROGANTE PRATA;49;NATAL
ADRIANY DIAS BERGAMASCHI DE LA RUA;34;NATAL
ADRIELE DA SILVA IENAGA;26;NATAL
ADRIELE VITORIA SANTOS GONCALVES;13;NATAL
ADRIELI MENEZES DA SILVA;26;ANGICUS
ADRIELLE DE BRITO;27;NATAL
ADRIELLI APARECIDA BARBOSA GUIMARAES;25;TENENTE ANANIAS
ADRIELLY JURADO E SILVA;20;NATAL
ADRIELLY LETICIA DE SANTOS OLIVEIRA;16;NATAL
ADRIELY DE MELO MASSARANDUBA;17;CAMPO REDONDO
ADRIELY ESTER GORGE;24;CAMPO REDONDO
ADRIENE CARDOSO SANTOS;41;SAO TOME
ADRIENNE MACEDO CAIRES FERREIRA;51;NATAL
ADROALDO ALVES DE SANTOS;88;CERRO CORA
ADRYAN BELAO DE MELO;9;TANGARA
ADRYAN EMANUEL DA SILVA SANTOS;7;NATAL
ADSON FERMINO ILDEFONSO OVANDO;27;NATAL
ADUELSON CORREA SILVA;24;RIO DO FOGO
ADVAIR ALVES DE PAULA;54;PATU
AECIO GUASSU MUNIZ;48;ANGICUS
AECIO MAGALHAES DE DEUS;25;NATAL
AELLYN RILLARY BARROZO DE OLIVEIRA;8;NATAL
AFFONSO GONCALEZ FILHO;82;NATAL
AFFONSO OLYMPIO PELICANO;83;MACA÷BA
AFIFE SALIM SARQUIS FAZZANO;65;NATAL
AFONSO CELSO AMENDOLA DE OLIVEIRA;57;NATAL
AFONSO CELSO GIMENEZ MARTINS;66;NATAL
AFONSO CELSO MARTINS;59;NATAL
AFONSO CHACHA BATISTA;71;PATU
AFONSO EDUARDO GOMES FERNANDEZ;37;MACA÷BA
AFONSO FERREIRA DE ARAUJO;49;SAO TOME
AFONSO HENRIQUES CARROMEU DUARTE;63;NATAL
AFONSO JOAO BREDA;76;SANTO ANTONIO
AFONSO JORGE MARTINHO JERONYMO;53;NATAL
AFONSO MARIA DE OLIVEIRA;69;NATAL
AFONSO PEDRO BRIOSCHI;64;NATAL
AFRANIO FARIA DE BARROS;57;NATAL
AFRANIO NETO OKIDOI CASTELO BRANCO;3;CERRO CORA
AGAMENON PEREIRA DA SILVA;64;MONTE ALEGRE
AGAR VELOSO SOARES;89;NATAL
AGATA KAWAMATA FUKUDA;1;NATAL
AGATHA ANGELA DOS SANTOS SANTOS;14;NATAL
AGDA ALVES CORREA;14;NATAL
AGDA CRISTINA DOS SANTOS;48;NATAL
AGDA CRISTINA PINTO ALEXANDRE;50;NATAL
AGEANE MONTEIRO DA SILVA;43;NATAL
AGELIDE CHRISTANI GOMES;78;NATAL
AGEMIRO ROCHA DIAS;58;SAO TOME
AGESSANDER MANOEL;51;NATAL
AGEU DE MELARE BELAZ;68;NATAL
AGHATA BONIFACIO GONCALVES DE BRITO;23;SAO TOME
AGHATA CRISTINA SANTOS SILVA;4;NATAL
AGINO PEREIRA SODRE;79;SANTO ANTONIO
AGNALDO ALEXANDRE DOS SANTOS;51;NATAL
AGNALDO CALVI BENVENHO;41;NATAL
AGNALDO FERREIRA DA SILVA;42;NATAL
AGNALDO GEROTTO;52;NATAL
AGNALDO GOMES;49;NATAL
AGNALDO GOMES CARDOSO;42;RIO DO FOGO
AGNALDO JORGE FILHO;26;NATAL
AGNALDO MARCOS BALOTARI;48;NATAL
AGNALDO MARCOS DE ALMEIDA;56;NATAL
AGNALDO MARTINS GERARDINI;45;RIO DO FOGO
AGNALDO MASSATO KOGA;37;PATU
AGNALDO REBELLO;55;MOSSORO
AGNALDO RIBEIRO LIMA;44;CAMPO REDONDO
